,Id_partida,Id_jugada,turno,FEN,jugada_realizada,valoracion_stockfish,mejor_jugada_stockfish,resultado
0,0,1,blancas,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e4,-54.0,e7e5,0
1,0,1,negras,r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2,Nc6,108.0,d2d4,0
2,0,2,blancas,r1bqkbnr/pppppppp/2n5/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 2 2,Nf3,-4.0,e7e5,0
3,0,2,negras,r1bqkbnr/ppp1pppp/2n5/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,d5,167.0,b1c3,0
4,0,3,blancas,r1bqkbnr/ppp1pppp/2n5/3P4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,exd5,-125.0,d8d5,0
5,0,3,negras,r1b1kbnr/ppp1pppp/2n5/3q4/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 4,Qxd5,206.0,d2d4,0
6,0,4,blancas,r1b1kbnr/ppp1pppp/2n5/3q4/8/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 4,Nc3,-144.0,d5a5,0
7,0,4,negras,r1b1kbnr/ppp1pppp/2n5/q7/8/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 2 5,Qa5,233.0,f1e2,0
8,0,5,blancas,r1b1kbnr/ppp1pppp/2n5/q7/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 5,d4,-123.0,c8g4,0
9,0,5,negras,r3kbnr/ppp1pppp/2n5/q7/3P2b1/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 1 6,Bg4,113.0,c1d2,0
10,0,6,blancas,r3kbnr/ppp1pppp/2n5/qB6/3P2b1/2N2N2/PPP2PPP/R1BQK2R b KQkq - 2 6,Bb5,-161.0,g8f6,0
11,0,6,negras,2kr1bnr/ppp1pppp/2n5/qB6/3P2b1/2N2N2/PPP2PPP/R1BQK2R w KQ - 3 7,O-O-O,217.0,b5c6,0
12,0,7,blancas,2kr1bnr/ppp1pppp/2B5/q7/3P2b1/2N2N2/PPP2PPP/R1BQK2R b KQ - 0 7,Bxc6,-29.0,b7c6,0
13,0,7,negras,2kr1bnr/p1p1pppp/2p5/q7/3P2b1/2N2N2/PPP2PPP/R1BQK2R w KQ - 0 8,bxc6,203.0,e1g1,0
14,0,8,blancas,2kr1bnr/p1p1pppp/2p5/q7/3P2b1/2N2N1P/PPP2PP1/R1BQK2R b KQ - 0 8,h3,-38.0,g4f3,0
15,0,8,negras,2kr1bnr/p1p1pppp/2p5/7q/3P2b1/2N2N1P/PPP2PP1/R1BQK2R w KQ - 1 9,Qh5,66.0,e1g1,0
16,0,9,blancas,2kr1bnr/p1p1pppp/2p5/7q/3P2b1/2N1BN1P/PPP2PP1/R2QK2R b KQ - 2 9,Be3,-28.0,g4f3,0
17,0,9,negras,2kr1b1r/p1p1pppp/2p2n2/7q/3P2b1/2N1BN1P/PPP2PP1/R2QK2R w KQ - 3 10,Nf6,71.0,e1g1,0
18,0,10,blancas,2kr1b1r/p1p1pppp/2p2n2/7q/3P2b1/2N1BN1P/PPP1QPP1/R3K2R b KQ - 4 10,Qe2,6.0,g4f3,0
19,0,10,negras,2kr1b1r/p1p1pppp/2p2n2/7q/3P4/2N1Bb1P/PPP1QPP1/R3K2R w KQ - 0 11,Bxf3,98.0,g2f3,0
20,0,11,blancas,2kr1b1r/p1p1pppp/2p2n2/7q/3P4/2N1BP1P/PPP1QP2/R3K2R b KQ - 0 11,gxf3,-85.0,h5a5,0
21,0,11,negras,2kr1b1r/p1p2ppp/2p1pn2/7q/3P4/2N1BP1P/PPP1QP2/R3K2R w KQ - 0 12,e6,63.0,e1c1,0
22,0,12,blancas,2kr1b1r/p1p2ppp/2p1pn2/7q/3P4/2N1BP1P/PPP1QP2/2KR3R b - - 1 12,O-O-O,-112.0,h5a5,0
23,0,12,negras,3r1b1r/pkp2ppp/2p1pn2/7q/3P4/2N1BP1P/PPP1QP2/2KR3R w - - 2 13,Kb7,98.0,c3a4,0
24,0,13,blancas,3r1b1r/pkp2ppp/2p1pn2/7q/3P4/2N1BP1P/PPP1QP2/2KR2R1 b - - 3 13,Rhg1,-50.0,f6d5,0
25,0,13,negras,3r1b1r/pkp2pp1/2p1pn1p/7q/3P4/2N1BP1P/PPP1QP2/2KR2R1 w - - 0 14,h6,105.0,g1g3,0
