,Id_partida,Id_jugada,turno,FEN,jugada_realizada,valoracion_stockfish,mejor_jugada_stockfish,resultado
31,0,16,negras,2kr2r1/p1p1bpp1/2p1pn1p/7q/3PN3/1R2BP1P/PPP1QP2/2K3R1 w - - 6 17,Kc8,"PovScore(Cp(+304), WHITE)",e2d3,0
32,0,17,blancas,2kr2r1/p1p1bpp1/Q1p1pn1p/7q/3PN3/1R2BP1P/PPP2P2/2K3R1 b - - 7 17,Qa6+,"PovScore(Cp(-65), BLACK)",c8d7,0
33,0,17,negras,3r2r1/p1pkbpp1/Q1p1pn1p/7q/3PN3/1R2BP1P/PPP2P2/2K3R1 w - - 8 18,Kd7,"PovScore(Cp(+251), WHITE)",b3c3,0
34,0,18,blancas,3r2r1/p1pkbpp1/Q1p1pn1p/7q/3PN3/1R2BP1P/PPP2P2/2KR4 b - - 9 18,Rd1,"PovScore(Cp(-22), BLACK)",f6d5,0
35,0,18,negras,3r2r1/p1pkbpp1/Q1p1pn1p/8/3PN3/1R2Bq1P/PPP2P2/2KR4 w - - 0 19,Qxf3,"PovScore(Cp(+187), WHITE)",e3d2,0
36,0,19,blancas,3r2r1/p1pkbpp1/Q1p1pn1p/8/3P4/1R2Bq1P/PPPN1P2/2KR4 b - - 1 19,Nd2,"PovScore(Cp(-174), BLACK)",f3h3,0
37,0,19,negras,3r2r1/p1pkbpp1/Q1p1pn1p/8/3P4/1R2B2q/PPPN1P2/2KR4 w - - 0 20,Qxh3,"PovScore(Cp(+430), WHITE)",e3f4,0
38,0,20,blancas,3r2r1/p1pkbpp1/Q1p1pn1p/8/2NP4/1R2B2q/PPP2P2/2KR4 b - - 1 20,Nc4,"PovScore(Cp(-371), BLACK)",f6d5,0
39,0,20,negras,3rk1r1/p1p1bpp1/Q1p1pn1p/8/2NP4/1R2B2q/PPP2P2/2KR4 w - - 2 21,Ke8,"PovScore(Cp(+489), WHITE)",a6c6,0
40,0,21,blancas,3rk1r1/p1p1bpp1/Q1p1pn1p/4N3/3P4/1R2B2q/PPP2P2/2KR4 b - - 3 21,Ne5,"PovScore(Cp(-294), BLACK)",f6d5,0
41,0,21,negras,3rk1r1/p1p2pp1/Q1pbpn1p/4N3/3P4/1R2B2q/PPP2P2/2KR4 w - - 4 22,Bd6,"PovScore(Cp(+382), WHITE)",e3g5,0
42,0,22,blancas,3rk1r1/p1p2pp1/Q1Nbpn1p/8/3P4/1R2B2q/PPP2P2/2KR4 b - - 0 22,Nxc6,"PovScore(Cp(-429), BLACK)",d8a8,0
43,0,22,negras,r3k1r1/p1p2pp1/Q1Nbpn1p/8/3P4/1R2B2q/PPP2P2/2KR4 w - - 1 23,Ra8,"PovScore(Cp(+373), WHITE)",c1b1,0
44,0,23,blancas,r3k1r1/pQp2pp1/2Nbpn1p/8/3P4/1R2B2q/PPP2P2/2KR4 b - - 2 23,Qb7,"PovScore(Cp(-308), BLACK)",e8d7,0
