NamesMap
"('Alabama', 'United States*Alabama')"
"('Arkansas', 'United States*Arkansas')"
"('Arizona', 'United States*Arizona')"
"('California', 'United States*California')"
"('Colorado', 'United States*Colorado')"
"('Connecticut', 'United States*Connecticut')"
"('Washington DC', 'United States*Washington DC')"
"('Delaware', 'United States*Delaware')"
"('Florida', 'United States*Florida')"
"('Georgia', 'United States*Georgia')"
"('Hawaii', 'United States*Hawaii')"
"('Iowa', 'United States*Iowa')"
"('Idaho', 'United States*Idaho')"
"('Illinois', 'United States*Illinois')"
"('Indiana', 'United States*Indiana')"
"('Kansas', 'United States*Kansas')"
"('Kentucky', 'United States*Kentucky')"
"('Louisiana', 'United States*Louisiana')"
"('Massachusetts', 'United States*Massachusetts')"
"('Maryland', 'United States*Maryland')"
"('Maine', 'United States*Maine')"
"('Michigan', 'United States*Michigan')"
"('Minnesota', 'United States*Minnesota')"
"('Missouri', 'United States*Missouri')"
"('Mississippi', 'United States*Mississippi')"
"('Montana', 'United States*Montana')"
"('North Carolina', 'United States*North Carolina')"
"('North Dakota', 'United States*North Dakota')"
"('Nebraska', 'United States*Nebraska')"
"('New Hampshire', 'United States*New Hampshire')"
"('New Jersey', 'United States*New Jersey')"
"('New Mexico', 'United States*New Mexico')"
"('Nevada', 'United States*Nevada')"
"('New York', 'United States*New York')"
"('Ohio', 'United States*Ohio')"
"('Oklahoma', 'United States*Oklahoma')"
"('Oregon', 'United States*Oregon')"
"('Pennsylvania', 'United States*Pennsylvania')"
"('Rhode Island', 'United States*Rhode Island')"
"('South Carolina', 'United States*South Carolina')"
"('South Dakota', 'United States*South Dakota')"
"('Tennessee', 'United States*Tennessee')"
"('Texas', 'United States*Texas')"
"('Utah', 'United States*Utah')"
"('Virginia', 'United States*Virginia')"
"('Vermont', 'United States*Vermont')"
"('Washington', 'United States*Washington')"
"('Wisconsin', 'United States*Wisconsin')"
"('West Virginia', 'United States*West Virginia')"
"('Wyoming', 'United States*Wyoming')"
"('United Kingdom', 'All')"
"('United Statesn', 'All')"
"('Brazil', 'All')"
